institution,doi,Not France
"Queen Mary, University of London",9,TRUE
University of Calgary,8,TRUE
HS Bielefeld,8,FALSE
Eawag - Swiss Federal Institute of Aquatic Science and Technology,8,TRUE
University of Eastern Finland,8,TRUE
INSA Strasbourg - Institut National des Sciences Appliquées de Strasbourg,8,FALSE
MHB Fontane,8,TRUE
Leibniz-IGB,8,TRUE
Rostock U,8,TRUE
TiHo Hannover,8,TRUE
University of Nottingham,8,FALSE
University of Bath,7,TRUE
ENAC - Ecole Nationale de l'Aviation Civile,7,FALSE
ENGEES - Ecole nationale du Génie de l'Eau et de l'Environnement de Strasbourg,7,FALSE
Lancaster University,7,TRUE
Université de la Nouvelle-Calédonie,7,FALSE
Empa - Swiss Federal Laboratories for Materials Science and Technology,6,TRUE
Université Panthéon-Sorbonne - Paris I,6,FALSE
University of Warwick,6,TRUE
Osnabrück U,6,TRUE
Trier U,6,TRUE
Plymouth University,6,FALSE
Alfred-Wegener-Institut,5,TRUE
Aston University,5,TRUE
Salzburg U,5,TRUE
University of Leicester,5,TRUE
University of East Anglia,5,TRUE
Oxford University Clinical Research Unit,5,TRUE
Kassel U,5,TRUE
University of Sussex,5,TRUE
LSE,5,TRUE
Fraunhofer-Gesellschaft Publishing Fund,5,TRUE
University of Strathclyde,5,TRUE
TU Chemnitz,4,TRUE
The Open University,4,FALSE
Liverpool School of Tropical Medicine,4,TRUE
Mälardalen University,4,TRUE
University of Zurich,4,TRUE
Northumbria University,4,TRUE
NILU - Norwegian Institute for Air Research,4,TRUE
VSB - Technical University of Ostrava,4,TRUE
Bonn U,4,TRUE
Leibniz-ZALF,4,TRUE
Bangor University,4,TRUE
University of Tromsø - The Arctic University of Norway,4,TRUE
Université Bordeaux Montaigne,4,FALSE
Leibniz-ZMT,4,FALSE
Leibniz-IZW,4,FALSE
Université Jean Moulin - Lyon III,4,FALSE
Université Polytechnique Hauts-de-France,4,FALSE
GSI,4,TRUE
Hamburg TUHH,4,TRUE
Åbo Akademi University,4,TRUE
Malmö University,4,TRUE
LSHTM,4,TRUE
Koeln U,4,FALSE
Université Toulouse - Jean Jaurès,4,FALSE
Dortmund TU,4,TRUE
Örebro University,3,TRUE
Aberystwyth University,3,FALSE
Siegen U,3,TRUE
University of Gävle,3,TRUE
Natural Resources Institute Finland,3,FALSE
Linnaeus University,3,TRUE
Hohenheim U,3,FALSE
IMT Mines Alès,3,TRUE
TU Clausthal,3,TRUE
University of Bergen,3,TRUE
Norwegian Institute for Nature Research,2,TRUE
Scuola Normale Superiore,2,FALSE
University of Oslo,2,FALSE
Bamberg U,2,FALSE
University of Basel,2,TRUE
Virginia Tech,2,TRUE
Brandenburg University of Technology Cottbus-Senftenberg,2,FALSE
Bauhaus-Universität Weimar,2,FALSE
Centre Hospitalier Universitaire d'Amiens,2,FALSE
Université de Montpellier - Paul Valéry,2,FALSE
Universität Erfurt,2,FALSE
Karlstad University,2,TRUE
Université Paris-Dauphine - Paris IX,2,FALSE
ENSICAEN - Ecole nationale supérieure de Caen,2,TRUE
Cranfield University,2,FALSE
Université Sorbonne Nouvelle - Paris III - USN,2,FALSE
Veneto Institute of Oncology IOV IRCCS,2,TRUE
University of Aberdeen,2,TRUE
University of Kent,2,TRUE
Swansea University,2,TRUE
University of Loughborough,2,FALSE
Université Paris-Est Marne-la-Vallée,2,FALSE
Leibniz-BIPS,2,FALSE
Leibniz-IPK,2,FALSE
Norwegian Institute of Public Health,2,FALSE
RPTU Kaiserslautern-Landau,2,TRUE
Bern University of Applied Sciences,2,FALSE
University West,1,FALSE
"University of Chemistry and Technology, Prague",1,TRUE
University of Applied Sciences Savonia,1,FALSE
Augsburg U,1,FALSE
Université de la Polynésie française,1,FALSE
Swedish School of Sport and Health Sciences,1,FALSE
Södertörns University,1,FALSE
TH Ingolstadt,1,FALSE
TH Brandenburg,1,FALSE
TH Köln,1,FALSE
TH Wildau,1,FALSE
Paul-Drude-Institut für Festkörperelektronik,1,FALSE
TU Ilmenau,1,TRUE
Norwegian University of Science and Technology,1,TRUE
Norwegian University of Life Sciences,1,TRUE
University of Skövde,1,TRUE
University of Portsmouth,1,FALSE
Royal Holloway,1,FALSE
SOAS,1,FALSE
TU Bergakademie Freiberg,1,FALSE
University of Huddersfield,1,FALSE
PSI - Paul Scherrer Institute,1,FALSE
University of the West of England,1,FALSE
Leibniz-DPZ,1,TRUE
University of Surrey,1,FALSE
Universität der Bundeswehr München,1,FALSE
Mannheim U,1,FALSE
Museum für Naturkunde Berlin,1,TRUE
Laurea University of Applied Sciences,1,FALSE
Keele University,1,FALSE
Johannes Kepler University Linz,1,FALSE
Heriot-Watt University,1,FALSE
Hochschule Luzern,1,FALSE
Helmholtz Zentrum München,1,FALSE
Harvard U,1,TRUE
LAB University of Applied Sciences,1,FALSE
Institut für Arbeitsmarkt- und Berufsforschung,1,TRUE
INM - Leibniz-Institut für Neue Materialien,1,FALSE
IFW Dresden,1,TRUE
HAW Hamburg,1,FALSE
HS Düsseldorf,1,FALSE
Dalarna University,1,TRUE
Forschungsinstitut für Nutztierbiologie,1,FALSE
Catholic University of Eichstätt-Ingolstadt,1,TRUE
ZHAW Zurich University of Applied Sciences,1,TRUE
